Question Length,Answer Length,Question Word Count,Answer Word Count,Question Sentence Count,Answer Sentence Count,Question Syllable Count,Answer Syllable Count,Question Avg Words per Sentence,Question Avg Syllables per Word,Answer Avg Words per Sentence,Answer Avg Syllables per Word,Usecase Name,User Persona,Explainer Types_/Images/GradCam,Explainer Types_/Images/IntegratedGradients,Explainer Types_/Images/NearestNeighbours,Explainer Types_/Images/SSIMCounterfactuals,Explainer Types_/Images/SSIMNearestNeighbours,Explainer Types_/Misc/AIModelPerformance,Explainer Types_/Tabular/DisCERN,Explainer Types_/Tabular/LIME,Explainer Types_/Text/LIME,Explainer Types_/Text/NLPClassifier,Ideal Cluster
55,1157,10,158,1,8,15,313,10.0,1.5,19.75,1.981012658227848,Jiva Fracture Detection System,Clinician,1,1,1,0,0,0,0,0,0,0,0
45,1354,7,197,1,10,13,380,7.0,1.8571428571428572,19.7,1.9289340101522843,Sensor Anomaly Detection (Bosch),Auditor,0,0,0,0,1,0,0,0,0,0,8
44,2056,8,252,1,12,11,510,8.0,1.375,21.0,2.0238095238095237,Telecom notes diagnosis (BT),Telecom Planner,0,0,0,0,0,0,0,0,1,0,8
50,1059,10,138,1,7,15,241,10.0,1.5,19.714285714285715,1.7463768115942029,Jiva Fracture Detection System,Clinician,1,0,0,0,0,0,0,0,0,0,0
86,1890,16,223,1,11,24,451,16.0,1.5,20.272727272727273,2.022421524663677,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,8
25,1089,6,163,1,8,7,299,6.0,1.1666666666666667,20.375,1.834355828220859,Sensor Anomaly Detection (Bosch),Auditor,0,0,0,1,1,0,0,0,0,0,6
40,1457,6,213,1,10,12,392,6.0,2.0,21.3,1.84037558685446,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,3
35,987,7,146,1,8,9,264,7.0,1.2857142857142858,18.25,1.8082191780821917,Loan Approval System,User,0,0,0,0,0,0,1,1,0,0,7
38,2088,7,211,1,11,10,419,7.0,1.4285714285714286,19.181818181818183,1.985781990521327,Loan Approval System,User,0,0,0,0,0,0,1,1,0,0,7
52,669,9,89,1,4,13,167,9.0,1.4444444444444444,22.25,1.8764044943820224,Jiva Fracture Detection System,Manager,0,0,0,0,0,1,0,0,0,0,9
30,996,8,148,1,8,9,262,8.0,1.125,18.5,1.7702702702702702,Telecom notes diagnosis (BT),Telecom Planner,0,0,0,0,0,0,0,0,1,0,1
56,1254,11,186,1,9,15,319,11.0,1.3636363636363635,20.666666666666668,1.7150537634408602,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
36,826,7,115,1,11,10,216,7.0,1.4285714285714286,10.454545454545455,1.8782608695652174,Sensor Anomaly Detection (Bosch),Auditor,0,0,0,1,1,0,0,0,0,0,6
42,2063,8,295,1,18,11,540,8.0,1.375,16.38888888888889,1.8305084745762712,Sensor Anomaly Detection (Bosch),Auditor,0,0,0,1,1,0,0,0,0,0,6
33,1371,5,184,1,10,10,362,5.0,2.0,18.4,1.9673913043478262,Telecom notes diagnosis (BT),Telecom Planner,0,0,0,0,0,0,0,0,1,0,8
28,348,5,59,1,3,6,96,5.0,1.2,19.666666666666668,1.6271186440677967,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,9
58,1196,9,179,1,9,17,325,9.0,1.8888888888888888,19.88888888888889,1.8156424581005586,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,3
93,1054,17,155,1,7,24,274,17.0,1.411764705882353,22.142857142857142,1.767741935483871,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
21,952,4,147,1,6,4,250,4.0,1.0,24.5,1.7006802721088434,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
54,514,10,80,1,4,14,140,10.0,1.4,20.0,1.75,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,9
48,2441,6,311,1,17,14,604,6.0,2.3333333333333335,18.294117647058822,1.9421221864951768,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,8
66,497,11,80,1,4,19,133,11.0,1.7272727272727273,20.0,1.6625,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
2,1236,1,190,1,9,1,324,1.0,1.0,21.11111111111111,1.7052631578947368,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
71,440,9,66,1,4,14,107,9.0,1.5555555555555556,16.5,1.621212121212121,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
53,1246,8,196,1,14,15,312,8.0,1.875,14.0,1.5918367346938775,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
114,1147,20,155,2,8,30,253,10.0,1.5,19.375,1.632258064516129,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
32,765,5,116,1,7,10,208,5.0,2.0,16.571428571428573,1.793103448275862,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
82,1248,15,183,1,11,24,351,15.0,1.6,16.636363636363637,1.9180327868852458,Jiva Fracture Detection System,Manager,0,0,0,0,0,1,0,0,0,0,3
129,631,24,95,2,5,35,172,12.0,1.4583333333333333,19.0,1.8105263157894738,Loan Approval System,User,0,0,0,0,0,0,1,1,0,0,2
90,421,16,55,1,3,25,98,16.0,1.5625,18.333333333333332,1.7818181818181817,Loan Approval System,User,0,0,0,0,0,0,1,1,0,0,2
29,43,5,7,1,1,8,9,5.0,1.6,7.0,1.2857142857142858,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,5
78,1339,14,201,2,9,20,360,7.0,1.4285714285714286,22.333333333333332,1.791044776119403,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,3
16,365,3,62,1,3,6,104,3.0,2.0,20.666666666666668,1.6774193548387097,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,0,1
16,1050,2,162,1,8,4,274,2.0,2.0,20.25,1.691358024691358,Telecom notes diagnosis (BT),Telecom Planner,0,0,0,0,0,0,0,0,1,0,1
