Question Length,Answer Length,Question Word Count,Answer Word Count,Question Sentence Count,Answer Sentence Count,Question Syllable Count,Answer Syllable Count,Question VADER Sentiment,Answer VADER Sentiment,Question LLM Sentiment,Answer LLM Sentiment,Question LLM Raw,Answer LLM Raw,Reasonability Score,Usecase Name,User Persona,Explainer Types
55,1157,10,158,1,8,15,313,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.335714285714285,Jiva Fracture Detection System,Clinician,"/Images/GradCam, /Images/IntegratedGradients, /Images/NearestNeighbours"
45,1354,7,197,1,10,13,380,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.302857142857144,Sensor Anomaly Detection (Bosch),Auditor,/Images/SSIMNearestNeighbours
44,2056,8,252,1,12,11,510,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,9.035714285714286,Telecom notes diagnosis (BT),Telecom Planner,/Text/LIME
50,1059,10,138,1,7,15,241,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.714285714285714,Jiva Fracture Detection System,Clinician,/Images/GradCam
86,1890,16,223,1,11,24,451,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.67142857142857,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
25,1089,6,163,1,8,7,299,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,6.935714285714286,Sensor Anomaly Detection (Bosch),Auditor,"/Images/SSIMNearestNeighbours, /Images/SSIMCounterfactuals"
40,1457,6,213,1,10,12,392,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.535714285714286,Sensor Anomaly Detection (Bosch),ML Engineer,"/Misc/AIModelPerformance, /Images/IntegratedGradients"
35,987,7,146,1,8,9,264,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.49,Loan Approval System,User,"/Tabular/DisCERN, /Tabular/LIME"
38,2088,7,211,1,11,10,419,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.714285714285714,Loan Approval System,User,"/Tabular/DisCERN, /Tabular/LIME"
52,669,9,89,1,4,13,167,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.278571428571428,Jiva Fracture Detection System,Manager,/Misc/AIModelPerformance
30,996,8,148,1,8,9,262,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.314285714285715,Telecom notes diagnosis (BT),Telecom Planner,/Text/LIME
56,1254,11,186,1,9,15,319,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.728571428571428,Telecom notes diagnosis (BT),ML engineer,"/Text/LIME, /Text/NLPClassifier"
36,826,7,115,1,11,10,216,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.714285714285714,Sensor Anomaly Detection (Bosch),Auditor,"/Images/SSIMNearestNeighbours, /Images/SSIMCounterfactuals"
42,2063,8,295,1,18,11,540,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.678571428571429,Sensor Anomaly Detection (Bosch),Auditor,"/Images/SSIMNearestNeighbours, /Images/SSIMCounterfactuals"
33,1371,5,184,1,10,10,362,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.614285714285714,Telecom notes diagnosis (BT),Telecom Planner,/Text/LIME
28,348,5,59,1,3,6,96,Neutral,Neutral,Neutral,Positive,Neutral,Positive,8.592857142857143,Sensor Anomaly Detection (Bosch),ML Engineer,"/Misc/AIModelPerformance, /Images/IntegratedGradients"
58,1196,9,179,1,9,17,325,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.42142857142857,Sensor Anomaly Detection (Bosch),ML Engineer,"/Misc/AIModelPerformance, /Images/IntegratedGradients"
93,1054,17,155,1,7,24,274,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.45,Telecom notes diagnosis (BT),ML engineer,"/Text/LIME, /Text/NLPClassifier"
21,952,4,147,1,6,4,250,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.714285714285714,Telecom notes diagnosis (BT),ML engineer,"/Text/LIME, /Text/NLPClassifier"
54,514,10,80,1,4,14,140,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.842857142857143,Sensor Anomaly Detection (Bosch),ML Engineer,"/Misc/AIModelPerformance, /Images/IntegratedGradients"
48,2441,6,311,1,17,14,604,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.607142857142858,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
66,497,11,80,1,4,19,133,Negative,Positive,Neutral,Neutral,Neutral,Neutral,8.714285714285714,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
2,1236,1,190,1,9,1,324,Negative,Positive,Neutral,Neutral,Neutral,Neutral,6.8428571428571425,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
71,440,9,66,1,4,14,107,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.621428571428572,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
53,1246,8,196,1,14,15,312,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.071428571428571,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
114,1147,20,155,2,8,30,253,Positive,Positive,Neutral,Neutral,Neutral,Neutral,8.321428571428571,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
32,765,5,116,1,7,10,208,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.192857142857143,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
82,1248,15,183,1,11,24,351,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,9.05,Jiva Fracture Detection System,Manager,/Misc/AIModelPerformance
129,631,24,95,2,5,35,172,Neutral,Positive,Negative,Neutral,Negative,Neutral,7.671428571428572,Loan Approval System,User,"/Tabular/LIME, /Tabular/DisCERN"
90,421,16,55,1,3,25,98,Positive,Positive,Negative,Neutral,Negative,Neutral,6.885714285714286,Loan Approval System,User,"/Tabular/LIME, /Tabular/DisCERN"
29,43,5,7,1,1,8,9,Neutral,Negative,Neutral,Negative,Neutral,Negative,3.3142857142857145,Sensor Anomaly Detection (Bosch),ML Engineer,"/Misc/AIModelPerformance, /Images/IntegratedGradients"
78,1339,14,201,2,9,20,360,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,7.557142857142857,Sensor Anomaly Detection (Bosch),ML Engineer,"/Misc/AIModelPerformance, /Images/IntegratedGradients"
16,365,3,62,1,3,6,104,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,7.871428571428571,Telecom notes diagnosis (BT),ML engineer,/Text/LIME
16,1050,2,162,1,8,4,274,Positive,Positive,Neutral,Neutral,Neutral,Neutral,8.514285714285714,Telecom notes diagnosis (BT),Telecom Planner,/Text/LIME
